california,[0, 0, 0, 1]
texas,[0, 0, 0, 1]
angeles,[0, 0, 0, 1]
florida,[0, 0, 0, 1]
atlanta,[0, 0, 0, 1]
boston,[0, 0, 0, 1]
chicago,[0, 0, 0, 1]
virginia,[0, 0, 0, 1]
carolina,[0, 0, 0, 1]
pennsylvania,[0, 0, 0, 1]
ohio,[0, 0, 0, 1]
houston,[0, 0, 0, 1]
miami,[0, 0, 0, 1]
massachusetts,[0, 0, 0, 1]
philadelphia,[0, 0, 0, 1]
arizona,[0, 0, 0, 1]
michigan,[0, 0, 0, 1]
kansas,[0, 0, 0, 1]
detroit,[0, 0, 0, 1]
colorado,[0, 0, 0, 1]
toronto,[0, 0, 0, 1]
seattle,[0, 0, 0, 1]
dallas,[0, 0, 0, 1]
minnesota,[0, 0, 0, 1]
illinois,[0, 0, 0, 1]
iowa,[0, 0, 0, 1]
cleveland,[0, 0, 0, 1]
denver,[0, 0, 0, 1]
d.c.,[0, 0, 0, 1]
tennessee,[0, 0, 0, 1]
oklahoma,[0, 0, 0, 1]
pittsburgh,[0, 0, 0, 1]
maryland,[0, 0, 0, 1]
phoenix,[0, 0, 0, 1]
indiana,[0, 0, 0, 1]
baltimore,[0, 0, 0, 1]
tampa,[0, 0, 0, 1]
missouri,[0, 0, 0, 1]
connecticut,[0, 0, 0, 1]
louisiana,[0, 0, 0, 1]
oregon,[0, 0, 0, 1]
kentucky,[0, 0, 0, 1]
montreal,[0, 0, 0, 1]
mississippi,[0, 0, 0, 1]
utah,[0, 0, 0, 1]
alabama,[0, 0, 0, 1]
wisconsin,[0, 0, 0, 1]
arkansas,[0, 0, 0, 1]
cincinnati,[0, 0, 0, 1]
oakland,[0, 0, 0, 1]
maine,[0, 0, 0, 1]
cowboys,[1, 0, 0, 1]
portland,[0, 0, 0, 1]
patriots,[1, 0, 0, 1]
orlando,[0, 0, 0, 1]
milwaukee,[0, 0, 0, 1]
nevada,[0, 0, 0, 1]
eagles,[1, 0, 0, 1]
nebraska,[0, 0, 0, 1]
sacramento,[0, 0, 0, 1]
montana,[0, 0, 0, 1]
dakota,[0, 0, 0, 1]
vermont,[0, 0, 0, 1]
valencia,[0, 0, 0, 1]
l.a.,[0, 0, 0, 1]
bruins,[1, 0, 0, 1]
delaware,[0, 0, 0, 1]
raiders,[1, 0, 0, 1]
memphis,[0, 0, 0, 1]
broncos,[1, 0, 0, 1]
idaho,[0, 0, 0, 1]
minneapolis,[0, 0, 0, 1]
rhode,[0, 0, 0, 1]
n.c.,[0, 0, 0, 1]
49ers,[1, 0, 0, 1]
falcons,[1, 0, 0, 1]
jacksonville,[0, 0, 0, 1]
rams,[1, 0, 0, 1]
wyoming,[0, 0, 0, 1]
colts,[1, 0, 0, 1]
louisville,[0, 0, 0, 1]
steelers,[1, 0, 0, 1]
packers,[1, 0, 0, 1]
atletico,[0, 0, 0, 1]
vikings,[1, 0, 0, 1]
browns,[1, 0, 0, 1]
redskins,[1, 0, 0, 1]
titans,[1, 0, 0, 1]
sevilla,[0, 0, 0, 1]
chargers,[1, 0, 0, 1]
ravens,[1, 0, 0, 1]
texans,[1, 0, 0, 1]
seahawks,[1, 0, 0, 1]
bilbao,[0, 0, 0, 1]
villarreal,[0, 0, 0, 1]
sonics,[1, 0, 0, 1]
mallorca,[0, 0, 0, 1]
zaragoza,[0, 0, 0, 1]
bengals,[1, 0, 0, 1]
formula_1,[0, 1, 0, 1]
jaguars,[1, 0, 0, 1]
espanyol,[0, 0, 0, 1]
betis,[0, 0, 0, 1]
buccaneers,[1, 0, 0, 1]
coruna,[0, 0, 0, 1]
formula_2,[0, 1, 0, 1]
valladolid,[0, 0, 0, 1]
osasuna,[0, 0, 0, 1]
malaga,[0, 0, 0, 1]
formula_3,[0, 1, 0, 1]
celta,[0, 0, 0, 1]
getafe,[0, 0, 0, 1]
formula_4,[0, 1, 0, 1]
tenerife,[0, 0, 0, 1]
vigo,[0, 0, 0, 1]
formula_5,[0, 1, 0, 1]
formula_6,[0, 1, 0, 1]
holmgren,[1, 0, 0, 1]
formula_7,[0, 1, 0, 1]
formula_8,[0, 1, 0, 1]
murcia,[0, 0, 0, 1]
formula_9,[0, 1, 0, 1]
almeria,[0, 0, 0, 1]
formula_10,[0, 1, 0, 1]
formula_11,[0, 1, 0, 1]
levante,[0, 0, 0, 1]
huelva,[0, 0, 0, 1]
formula_12,[0, 1, 0, 1]
gijon,[0, 0, 0, 1]
formula_13,[0, 1, 0, 1]
formula_14,[0, 1, 0, 1]
formula_15,[0, 1, 0, 1]
albacete,[0, 0, 0, 1]
formula_16,[0, 1, 0, 1]
formula_17,[0, 1, 0, 1]
alaves,[0, 0, 0, 1]
formula_18,[0, 1, 0, 1]
formula_19,[0, 1, 0, 1]
formula_20,[0, 1, 0, 1]
formula_21,[0, 1, 0, 1]
formula_22,[0, 1, 0, 1]
formula_23,[0, 1, 0, 1]
numancia,[0, 0, 0, 1]
formula_24,[0, 1, 0, 1]
formula_25,[0, 1, 0, 1]
formula_26,[0, 1, 0, 1]
formula_27,[0, 1, 0, 1]
formula_28,[0, 1, 0, 1]
formula_29,[0, 1, 0, 1]
formula_30,[0, 1, 0, 1]
formula_31,[0, 1, 0, 1]
formula_32,[0, 1, 0, 1]
formula_33,[0, 1, 0, 1]
formula_34,[0, 1, 0, 1]
formula_35,[0, 1, 0, 1]
